population_role,risk_decile,loans,defaults,mean_predicted_probability,observed_default_rate,lift,default_capture
historical_comparison,1,3756,2,0.0013000644411785365,0.0005324813631522897,0.020679770003292904,0.002068252326783868
historical_comparison,2,3755,12,0.002920253270199985,0.003195739014647137,0.12411166359366416,0.012409513960703205
historical_comparison,3,3756,10,0.0048217759916958465,0.0026624068157614484,0.10339885001646452,0.010341261633919338
historical_comparison,4,3755,26,0.007320712176973219,0.006924101198402131,0.268908604452939,0.02688728024819028
historical_comparison,5,3756,45,0.01078563337767093,0.011980830670926517,0.4652948250740903,0.04653567735263702
historical_comparison,6,3755,65,0.015661088727740698,0.017310252996005325,0.6722715111323474,0.0672182006204757
historical_comparison,7,3755,75,0.023132192036286792,0.019973368841544607,0.7756978974604009,0.07755946225439504
historical_comparison,8,3756,140,0.03516390677369019,0.03727369542066028,1.4475839002305033,0.14477766287487073
historical_comparison,9,3755,223,0.05894644851703901,0.05938748335552597,2.3064084151155924,0.23061013443640124
historical_comparison,10,3756,369,0.1654264408497288,0.09824281150159744,3.815417565607541,0.3815925542916236
later_vintage_test,1,4207,2,0.0004980467928809515,0.0004753981459472308,0.050370648894519685,0.005037783375314861
later_vintage_test,2,4206,1,0.001041928223196059,0.00023775558725630053,0.025191312398864043,0.0025188916876574307
later_vintage_test,3,4206,6,0.0016304501142126366,0.0014265335235378032,0.15114787439318425,0.015113350125944584
later_vintage_test,4,4207,4,0.0023577741695248516,0.0009507962918944616,0.10074129778903937,0.010075566750629723
later_vintage_test,5,4206,9,0.003301472428968364,0.0021398002853067048,0.2267218115897764,0.022670025188916875
later_vintage_test,6,4206,22,0.004559729864579218,0.005230622919638612,0.554208872775009,0.055415617128463476
later_vintage_test,7,4207,27,0.006366250821310289,0.0064178749702876155,0.6800037600760158,0.06801007556675064
later_vintage_test,8,4206,50,0.009287072508993846,0.011887779362815026,1.2595656199432022,0.12594458438287154
later_vintage_test,9,4206,76,0.015071736214704583,0.01806942463147884,1.9145397423136672,0.19143576826196473
later_vintage_test,10,4207,200,0.043753882425466906,0.04753981459472308,5.037064889451969,0.5037783375314862
model_development,1,8239,3,0.0003972211806474546,0.00036412185944896227,0.05145610228888792,0.005145797598627788
model_development,2,8239,3,0.0008032787978326098,0.00036412185944896227,0.05145610228888792,0.005145797598627788
model_development,3,8238,5,0.0012382888689665191,0.0006069434328720563,0.085770580795935,0.008576329331046312
model_development,4,8239,5,0.0017724638253404069,0.0006068697657482705,0.08576017048147987,0.008576329331046312
model_development,5,8239,14,0.00247313611072486,0.0016992353440951572,0.2401284773481436,0.024013722126929673
model_development,6,8238,30,0.0034493635137342197,0.003641660597232338,0.51462348477561,0.051457975986277875
model_development,7,8239,30,0.004871426586550894,0.0036412185944896223,0.5145610228888791,0.051457975986277875
model_development,8,8238,50,0.007181738200986031,0.006069434328720563,0.85770580795935,0.08576329331046312
model_development,9,8239,114,0.011858883160748603,0.013836630659060566,1.9553318869777407,0.1955403087478559
model_development,10,8239,329,0.0373791062260979,0.03993203058623619,5.643019217681374,0.5643224699828473
